{S-IDE: A tool framework for optimizing deployment architecture of High Level Architecture based simulation systems};21
{Model-driven processes and tools to design robot-based generative learning objects for computer science education};23
{Case handling: a new paradigm for business process support};33
{A modular package manager architecture};15
{Dependency solving: A separate concern in component evolution management};12
{Evaluation of the Pattern-based method for Secure Development (PbSD): A controlled experiment};14
{Controlled experiments comparing black-box testing strategies for software product lines};24
{On the specification of modal systems: A comparison of three frameworks};19
{FAMILIAR: A domain-specific language for large scale management of feature models};24
{Feature model differences};16
{From business processes to software services and vice versa—an improved transition through service-oriented requirements engineering};21
{Effective requirements elicitation in product line application engineering - An experiment};16
{Intelligent software product line configurations: A literature review};18
{Classification and comparison of architecture evolution reuse knowledge—a systematic review};37
{Handling constraints in combinatorial interaction testing in the presence of multi objective particle swarm and multithreading};16
{The software product line architecture: An empirical investigation of key process activities};15
{Managing the business of software product line: An empirical investigation of key business factors};14
{Institutionalization of software product line: An empirical investigation of key organizational factors};13
{Evolution support mechanisms for software product line process};17
{Automatic promotional specialization, generalization and analysis of extended feature models with cardinalities in Alloy};27
{Reusing class-based test cases for testing object-oriented framework interface classes};27
{Impact analysis and change propagation in service-oriented enterprises: A systematic review};30
{Modelling a family of systems for crisis management with concern-oriented reuse};14
{A multi-domain incremental analysis engine and its application to incremental resource analysis};23
{Quantifying usability of domain-specific languages: An empirical study on software maintenance};14
{A Digital Game Maturity Model (DGMM)};18
{Engineering context-aware systems and applications: A survey};28
{Dynamic adaptation of service compositions with variability models};23
{Evaluating scenario-based SPL requirements approaches: the case for modularity, stability and expressiveness};21
{Multi-view composition language for software product line requirements};19
{IncLing: Efficient Product-line Testing Using Incremental Pairwise Sampling};11
{A systematic review of comparative evidence of aspect-oriented programming};16
{Automatic code generation for real-time systems: A development approach based on components, models, and frameworks [Generaci{\'{o}}n autom{\'{a}}tica de software para sistemas de tiempo real: Un enfoque basado en componentes, modelos y frameworks]};11
{A method to optimize the scope of a software product platform based on end-user features};27
{1.2.3 Towards a semantic-based representation and computation of quantitative indexes for quality management of requirements};13
{Prioritizing test cases for early detection of refactoring faults};24
{Requirements engineering for software product lines: A systematic literature review};14
{A preliminary assessment of variability implementation mechanisms in service-oriented computing};16
{Platform-variant applications from platform-independent models via templates};22
{A socio-cognitive interpretation of the potential effects of downsizing on software quality performance};26
{Development of service-oriented architectures using model-driven development: A mapping study};24
{Scenario-based decision making for architectural variability in product families};16
{Achieving dynamic adaptation via management and interpretation of runtime models};17
{An empirical investigation on the reusability of design patterns and software packages};18
{Software engineering research for computer games: A systematic review};13
{An orchestrated survey of methodologies for automated software test case generation};23
{An evaluation of aspect-oriented programming as a product line implementation technology};15
{The Unified Enterprise Modelling Language—Overview and further work};12
{Experience from model and software reuse in aircraft simulator product line engineering};11
