Rank;#Papers;Institution;
1;11;TypeError: undefined is not an object (evaluating 'document.getElementsByClassName("gsc_oai_eml")[0].textContent')  undefined:2  :4null;
2;6;unibas.it;
3;4;;
4;3;utfpr.edu.br;
5;3;informatik.uni-hamburg.de;
6;2;uok.edu.in;
7;2;csulb.edu;
8;2;aalto.fi;
9;2;ort.edu.uy;
10;2;dm.uba.ar;
11;2;uni-hamburg.de;
12;2;cin.ufpe.br;
13;2;riteh.hr;
14;1;usp.br;
15;1;berkeley.edu;
16;1;cs.lth.se;
17;1;usi.ch;
18;1;impcas.ac.cn;
19;1;ischool.utexas.edu;
20;1;dermatology.uni-kiel.de;
21;1;korea.ac.kr;
22;1;ucm.es;
23;1;dsm.com;
24;1;frsf.utn.edu.ar;
25;1;unlv.edu;
26;1;nrel.gov;
27;1;merl.com;
28;1;isye.gatech.edu;
29;1;bth.se;
30;1;phys.cmu.edu;
31;1;unibz.it;
32;1;pucp.pe;
33;1;msu.montana.edu;
34;1;sjtu.edu.cn;
35;1;ucd.ie;
36;1;uibk.ac.at;
37;1;bilgi.edu.tr;
38;1;umn.edu;
39;1;tudelft.nl;
40;1;fisica.ufmg.br;
41;1;utexas.edu;
42;1;cheme.utm.my;
43;1;is.haifa.ac.il;
44;1;unr.edu.ar;
45;1;email.arizona.edu;
46;1;cs.uni-goettingen.de;
47;1;ogr.sakarya.edu.tr;
48;1;unisa.it;
49;1;ppi.de;
50;1;massey.ac.nz;
51;1;uefs.br;
52;1;unina.it;
53;1;dowling.edu;
54;1;sbumed.org;
55;1;fi.upm.es;
56;1;mat.unical.it;
57;1;alumni.ubc.ca;
58;1;nano.ku.dk;
