Rank;#Papers;Institution;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;
1;11;TypeError: undefined is not an object (evaluating 'document.getElementsByClassName("gsc_oai_eml")[0].textContent')  undefined:2  :4null;4;1;1;1;3;0;3;0;0;1;1;
2;6;unibas.it;4;2;2;0;2;0;1;0;0;0;0;
3;4;;0;0;0;0;0;0;0;0;0;2;2;
4;3;utfpr.edu.br;0;0;0;0;0;0;0;0;0;0;3;
5;3;informatik.uni-hamburg.de;0;0;0;3;0;0;0;0;0;3;0;
6;2;uok.edu.in;0;0;0;2;0;0;0;0;0;2;0;
7;2;csulb.edu;2;0;0;0;0;0;1;0;0;0;0;
8;2;aalto.fi;0;1;1;1;0;0;0;0;0;0;0;
9;2;ort.edu.uy;0;0;0;1;0;0;0;0;0;1;1;
10;2;dm.uba.ar;2;0;0;0;0;0;0;0;0;0;0;
11;2;uni-hamburg.de;2;0;0;0;0;0;0;0;0;0;0;
12;2;cin.ufpe.br;0;1;0;0;0;0;2;0;0;0;1;
13;2;riteh.hr;0;0;1;1;0;0;0;0;0;2;0;
14;1;usp.br;0;0;0;0;0;0;0;1;1;0;0;
15;1;berkeley.edu;0;0;1;0;1;0;0;0;0;0;0;
16;1;cs.lth.se;0;1;0;1;0;0;0;0;0;0;0;
17;1;usi.ch;1;0;0;0;1;0;0;0;0;0;0;
18;1;impcas.ac.cn;1;1;0;0;0;0;0;0;0;1;0;
19;1;ischool.utexas.edu;0;0;1;0;0;0;1;0;0;0;0;
20;1;dermatology.uni-kiel.de;0;0;1;0;1;0;0;0;0;0;0;
21;1;korea.ac.kr;0;0;0;0;0;0;1;0;0;1;0;
22;1;ucm.es;1;0;0;0;0;0;1;0;0;1;0;
23;1;dsm.com;0;0;0;1;0;0;0;0;0;1;0;
24;1;frsf.utn.edu.ar;1;0;0;0;0;0;0;0;0;0;0;
25;1;unlv.edu;0;0;0;0;0;0;0;0;0;0;1;
26;1;nrel.gov;0;0;0;1;0;0;1;0;0;0;0;
27;1;merl.com;0;1;0;0;0;0;1;0;0;0;0;
28;1;isye.gatech.edu;0;0;0;1;0;0;0;0;0;0;0;
29;1;bth.se;0;0;0;0;0;0;0;0;0;0;1;
30;1;phys.cmu.edu;1;0;0;0;0;0;0;0;0;1;0;
31;1;unibz.it;0;0;0;0;0;0;1;0;0;0;0;
32;1;pucp.pe;1;1;0;0;0;0;0;0;0;0;0;
33;1;msu.montana.edu;0;0;0;0;0;0;1;0;0;1;0;
34;1;sjtu.edu.cn;0;1;0;0;0;0;1;0;0;0;0;
35;1;ucd.ie;0;0;1;0;0;0;0;0;0;0;0;
36;1;uibk.ac.at;1;0;0;1;0;0;0;0;0;0;0;
37;1;bilgi.edu.tr;1;0;0;0;0;0;0;0;1;0;0;
38;1;umn.edu;0;1;1;0;0;0;0;0;0;1;0;
39;1;tudelft.nl;1;0;1;0;0;0;1;0;0;0;0;
40;1;fisica.ufmg.br;0;0;0;0;1;0;0;0;0;0;0;
41;1;utexas.edu;0;0;1;1;0;0;1;0;0;0;0;
42;1;cheme.utm.my;0;0;0;0;0;0;1;0;0;0;0;
43;1;is.haifa.ac.il;1;0;0;0;0;0;0;0;0;0;0;
44;1;unr.edu.ar;1;0;0;0;0;0;0;0;0;0;0;
45;1;email.arizona.edu;1;0;0;0;0;0;0;0;0;0;0;
46;1;cs.uni-goettingen.de;0;0;0;0;0;0;0;0;0;1;0;
47;1;ogr.sakarya.edu.tr;0;0;0;1;0;0;0;0;0;1;0;
48;1;unisa.it;1;1;0;0;0;0;0;0;0;0;0;
49;1;ppi.de;0;0;0;0;0;0;0;0;1;0;0;
50;1;massey.ac.nz;1;0;0;0;0;0;0;0;0;0;0;
51;1;uefs.br;0;0;0;1;0;0;0;0;0;0;0;
52;1;unina.it;0;0;1;1;0;0;0;0;0;0;0;
53;1;dowling.edu;1;0;0;0;0;0;0;0;0;0;0;
54;1;sbumed.org;0;0;1;1;0;0;0;0;0;0;0;
55;1;fi.upm.es;0;0;0;0;0;0;0;0;0;0;1;
56;1;mat.unical.it;1;0;0;0;0;0;0;0;0;0;0;
57;1;alumni.ubc.ca;0;1;1;0;0;0;0;0;0;0;0;
58;1;nano.ku.dk;0;0;0;1;0;0;0;0;0;0;0;
