Rank;#Papers;Name;Acronym;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;
1;12;null;Empirical Software Engineering;4;2;3;5;2;0;1;0;0;5;0;
2;8;null;Information and Software Technology;4;0;0;1;1;0;2;0;0;1;3;
3;4;null;ACM Transactions on Software Engineering and Methodology;2;1;1;1;1;0;0;0;0;0;0;
4;3;null;IEEE Transactions on Software Engineering;2;1;0;0;1;0;0;0;0;0;0;
5;2;null;Journal of Visual Languages and Computing;2;1;0;0;0;0;1;0;0;0;0;
6;2;null;Advanced Materials Research;0;1;0;1;0;0;1;0;0;0;0;
7;2;null;Software and Systems Modeling;2;0;0;0;1;0;0;0;1;0;0;
8;1;null;RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao;1;0;0;0;0;0;0;0;0;0;0;
9;1;null;Applied Soft Computing Journal;0;0;1;0;0;0;0;0;0;1;0;
10;1;null;Software Quality Journal;0;0;0;1;0;0;0;0;0;1;0;
11;1;null;Advances in Intelligent Systems and Computing;1;1;0;0;0;0;0;0;0;0;0;
12;1;null;Journal of software: Evolution and Process;0;0;1;0;1;0;0;0;0;0;0;
13;1;null;International Journal of Software Engineering and Knowledge Engineering;0;0;0;0;0;0;0;0;0;0;1;
14;1;null;MIS Quarterly: Management Information Systems;0;0;1;0;0;0;1;0;0;0;0;
15;1;null;Journal of Systems and Software;1;0;0;0;0;0;1;0;0;1;0;
16;1;null;Expert Systems with Applications;0;0;0;1;0;0;0;0;0;1;0;
