year;papers;type
2016;0.65;Journal 
2016;0.09;Variability Related Conference
2016;0.26;Non Variability Related Conference
2015;0.67;Journal 
2015;0.1;Variability Related Conference
2015;0.24;Non Variability Related Conference
2014;0.4;Journal 
2014;0.19;Variability Related Conference
2014;0.4;Non Variability Related Conference
2013;0.24;Journal 
2013;0.28;Variability Related Conference
2013;0.48;Non Variability Related Conference
2012;0.28;Journal 
2012;0.2;Variability Related Conference
2012;0.52;Non Variability Related Conference
2011;0.18;Journal 
2011;0.38;Variability Related Conference
2011;0.45;Non Variability Related Conference
2010;0.16;Journal 
2010;0.33;Variability Related Conference
2010;0.51;Non Variability Related Conference
