year;type;papers
2016;k-configuration;2 
2016;k-testing;2 
2016;k-modeling;2 
2015;k-configuration;1 
2015;k-testing;2 
2014;k-vis;3 
2014;k-mmodel;12 
2014;k-configuration;6 
2014;k-testing;1 
2014;k-modeling;3 
2014;k-reverse;12 
2013;k-mmodel;4 
2013;k-configuration;3 
2013;k-testing;3 
2013;k-modeling;4 
2013;k-reverse;4 
2012;k-configuration;2 
2012;k-testing;3 
2012;k-modeling;3 
2012;k-reverse;7 
2011;k-vis;21 
2011;k-mmodel;5 
2011;k-configuration;5 
2011;k-testing;4 
2011;k-modeling;3 
2011;k-reverse;21 
2010;k-vis;7 
2010;k-mmodel;5 
2010;k-configuration;2 
2010;k-testing;7 
2010;k-modeling;2 
2010;k-reverse;15 
