year;type;papers
2016;k-vis;5 
2016;k-mmodel;15 
2016;k-configuration;2 
2016;k-testing;1 
2016;k-modeling;3 
2016;k-reverse;15 
2015;k-vis;7 
2015;k-mmodel;7 
2015;k-configuration;2 
2015;k-testing;3 
2015;k-modeling;2 
2015;k-reverse;2 
2014;k-vis;6 
2014;k-mmodel;8 
2014;k-configuration;2 
2014;k-testing;2 
2014;k-modeling;3 
2014;k-reverse;4 
2013;k-vis;4 
2013;k-mmodel;8 
2013;k-configuration;2 
2013;k-testing;8 
2013;k-modeling;2 
2012;k-vis;20 
2012;k-mmodel;10 
2012;k-configuration;2 
2012;k-testing;2 
2012;k-modeling;4 
2012;k-reverse;20 
2011;k-mmodel;10 
2011;k-configuration;2 
2011;k-testing;2 
2011;k-modeling;3 
2010;k-vis;3 
2010;k-mmodel;3 
2010;k-configuration;3 
2010;k-testing;3 
2010;k-modeling;3 
