rf;vf;count
k-experience;k-vis;0
k-experience;k-mmodel;0
k-experience;k-configuration;3
k-experience;k-testing;0
k-experience;k-modeling;0
k-experience;k-reverse;0
k-philosophical;k-vis;3
k-philosophical;k-mmodel;2
k-philosophical;k-configuration;10
k-philosophical;k-testing;5
k-philosophical;k-modeling;9
k-philosophical;k-reverse;4
k-opinion;k-vis;1
k-opinion;k-mmodel;2
k-opinion;k-configuration;4
k-opinion;k-testing;4
k-opinion;k-modeling;3
k-opinion;k-reverse;2
k-solution;k-vis;1
k-solution;k-mmodel;6
k-solution;k-configuration;15
k-solution;k-testing;8
k-solution;k-modeling;16
k-solution;k-reverse;4
k-evaluation;k-vis;14
k-evaluation;k-mmodel;14
k-evaluation;k-configuration;40
k-evaluation;k-testing;45
k-evaluation;k-modeling;29
k-evaluation;k-reverse;12
k-validation;k-vis;5
k-validation;k-mmodel;3
k-validation;k-configuration;1
k-validation;k-testing;4
k-validation;k-modeling;8
k-validation;k-reverse;2
