COUNT ; LINE; University
18 ; irisa.fr; Institut National de Recherche en Informatique et Automatique de Rennes, IRISA
16 ; us.es; University of Seville
13 ; jku.at; Johannes Kepler Universitaet
7 ; lero.ie; Lero - The Irish Software Research Centre
7 ; uni.lu; Université du Luxembourg
6 ; issi.uned.es;Universidad Nacional de Educación a Distancia
5 ; lboro.ac.uk;Loughborough University
5 ; ovgu.de; Otto-von-Guericke-Universitaet Magdeburg
5 ; ph.tum.de; Leibniz-Rechenzentrum der Bayerischen Akademie der Wissenschaften
5 ; unamur.be;Université de Namur
5 ; univ-paris1.fr;Université Paris 1 Panthéon-Sorbonne
4 ; birzeit.edu;Birzeit University
3 ; ecust.edu.cn;East china university of science and technology
3 ; garvan.org.au;Garvan institute
3 ; gsd.uwaterloo.ca;University of Waterloo
3 ; mutah.edu.jo;Mutah University
3 ; polimi.it;Politecnico di Milano
3 ; ryerson.ca;Ryerson University
3 ; sbu.ac.ir;Shahid Beheshti University
3 ; stevenshe.ca; x.ai in New York.
3 ; tu-braunschweig.de; Technishche Universitat Braunschweig
3 ; um.es;University of Murcia
3 ; uni-passau.de;Universität Passau
2 ; ch-versailles.fr;Centre Hospitalier de Versailles 
2 ; colorado.edu;University of colorado boulder
2 ; cs.cmu.edu;Carnegie Mellon University
2 ; cs.toronto.edu;University of Toronto
2 ; csiro.au;Commonwealth Scientific and Industrial Research Organisation
2 ; d3s.mff.cuni.cz; Univerzita Karlova
2 ; fim.uni-passau.de; University of Passau
2 ; fmvz.unesp.br;universidade estadual paulista "Julio de mesquita filho"
2 ; fundp.ac.be;Vrije Universiteit Brussel
2 ; gradcenter.cuny.edu;The city university of New York
2 ; iastate.edu;Iowa state university
2 ; inductive.no; INDUCTIVE AS
2 ; irb.hr; Institut Ruder Boskovic
2 ; ist.tugraz.at; Graz University of Technology
2 ; lip6.fr;Pierre et Marie Curie University
2 ; mail.neu.edu.cn; China Northeastern University
2 ; mpq.mpg.de;Max Planck Institutes
